"","Abstention","BN","Mancel","Italiani","Voix"
"abs","93.05%","0.61%","2.59%","3.75%","10784"
"BN","17.50%","24.20%","22.14%","36.16%","91"
"Mancel","2.59%","2.06%","92.59%","2.76%","2206"
"Ripart","20.97%","40.99%","18.03%","20.02%","263"
"Lesaege","22.87%","33.77%","17.17%","26.19%","75"
"Ramel","26.21%","17.80%","27.93%","28.06%","47"
"Potchtovik","21.26%","19.92%","27.06%","31.76%","47"
"Houssin","10.56%","16.25%","25.65%","47.53%","871"
"Italiani","3.30%","3.68%","4.71%","88.31%","1294"
"Voix","10299","457","2777","2145","15678"
